OE;Produkt;Teilprodukt;Kostenartengruppe;2018 (Plan);Ertrag/Aufwand;Interne Leist. 
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;1659;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;511;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;31;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-9663;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-549;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-239;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-1363;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-10269;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1680;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-134500;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-518;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;650;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;200;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;12;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-3786;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-215;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-94;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-534;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-4023;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-658;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-139200;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-536;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;673;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;207;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;13;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-3918;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-222;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-97;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-553;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-4164;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-681;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-234800;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-16300;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-800;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-904;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;1134;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;350;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;21;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-6609;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-375;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-164;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-932;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-7023;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1149;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-446900;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1720;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;2159;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;665;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;41;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-12579;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-714;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-311;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-1774;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-13368;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-2187;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-336600;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1296;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;1626;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;501;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;31;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-9474;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-538;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-235;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-1336;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-10068;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1647;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-95100;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-366;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;459;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;142;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;9;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-2677;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-152;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-66;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-378;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-2845;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-465;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-464300;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1787;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;2243;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;691;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;42;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-13068;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-742;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-324;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-1843;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-13888;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-2273;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-158600;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-610;Aufwand;ja
